event_id,node_id,basin,start,end,duration_days,peak_discharge
COL_KOL_20191015,COL_KOL,ColomboMetro,2019-10-15,2019-10-17,3,641.69
COL_KOL_20191020,COL_KOL,ColomboMetro,2019-10-20,2019-10-22,3,614.18
COL_KOL_20231021,COL_KOL,ColomboMetro,2023-10-21,2023-10-23,3,695.63
COL_KOL_20231031,COL_KOL,ColomboMetro,2023-10-31,2023-11-16,17,733.51
COL_KOL_20231121,COL_KOL,ColomboMetro,2023-11-21,2023-11-25,5,604.34
COL_KOL_20240524,COL_KOL,ColomboMetro,2024-05-24,2024-05-30,7,687.65
COL_KOL_20241128,COL_KOL,ColomboMetro,2024-11-28,2024-11-29,2,563.94
COL_KOT_20030623,COL_KOT,ColomboMetro,2003-06-23,2003-06-23,1,9.19
COL_KOT_20031104,COL_KOT,ColomboMetro,2003-11-04,2003-11-04,1,11.22
COL_KOT_20040926,COL_KOT,ColomboMetro,2004-09-26,2004-09-27,2,25.67
COL_KOT_20041021,COL_KOT,ColomboMetro,2004-10-21,2004-10-21,1,11.11
COL_KOT_20041026,COL_KOT,ColomboMetro,2004-10-26,2004-10-27,2,9.79
COL_KOT_20041031,COL_KOT,ColomboMetro,2004-10-31,2004-11-01,2,15.07
COL_KOT_20041109,COL_KOT,ColomboMetro,2004-11-09,2004-11-09,1,10.43
COL_KOT_20041114,COL_KOT,ColomboMetro,2004-11-14,2004-11-14,1,9.35
COL_KOT_20041203,COL_KOT,ColomboMetro,2004-12-03,2004-12-03,1,9.26
COL_KOT_20050904,COL_KOT,ColomboMetro,2005-09-04,2005-09-04,1,11.47
COL_KOT_20050911,COL_KOT,ColomboMetro,2005-09-11,2005-09-11,1,9.35
COL_KOT_20061018,COL_KOT,ColomboMetro,2006-10-18,2006-10-27,10,37.37
COL_KOT_20061106,COL_KOT,ColomboMetro,2006-11-06,2006-11-07,2,30.33
COL_KOT_20061111,COL_KOT,ColomboMetro,2006-11-11,2006-11-12,2,9.64
COL_KOT_20061115,COL_KOT,ColomboMetro,2006-11-15,2006-11-20,6,19.84
COL_KOT_20061126,COL_KOT,ColomboMetro,2006-11-26,2006-11-26,1,12.12
COL_KOT_20070407,COL_KOT,ColomboMetro,2007-04-07,2007-04-08,2,11.91
COL_KOT_20070411,COL_KOT,ColomboMetro,2007-04-11,2007-04-12,2,10.17
COL_KOT_20070615,COL_KOT,ColomboMetro,2007-06-15,2007-06-15,1,9.16
COL_KOT_20070621,COL_KOT,ColomboMetro,2007-06-21,2007-06-21,1,9.72
COL_KOT_20080228,COL_KOT,ColomboMetro,2008-02-28,2008-03-01,3,16.82
COL_KOT_20080310,COL_KOT,ColomboMetro,2008-03-10,2008-03-11,2,17.92
COL_KOT_20080409,COL_KOT,ColomboMetro,2008-04-09,2008-04-09,1,9.99
COL_KOT_20080718,COL_KOT,ColomboMetro,2008-07-18,2008-07-18,1,9.38
COL_KOT_20081020,COL_KOT,ColomboMetro,2008-10-20,2008-10-21,2,12.96
COL_KOT_20081121,COL_KOT,ColomboMetro,2008-11-21,2008-11-21,1,11.02
COL_KOT_20090524,COL_KOT,ColomboMetro,2009-05-24,2009-05-24,1,13.86
COL_KOT_20091224,COL_KOT,ColomboMetro,2009-12-24,2009-12-25,2,9.79
COL_KOT_20100520,COL_KOT,ColomboMetro,2010-05-20,2010-05-20,1,8.98
COL_KOT_20100610,COL_KOT,ColomboMetro,2010-06-10,2010-06-10,1,9.26
COL_KOT_20101002,COL_KOT,ColomboMetro,2010-10-02,2010-10-03,2,15.44
COL_KOT_20101111,COL_KOT,ColomboMetro,2010-11-11,2010-11-12,2,19.89
COL_KOT_20101122,COL_KOT,ColomboMetro,2010-11-22,2010-11-22,1,11.97
COL_KOT_20101201,COL_KOT,ColomboMetro,2010-12-01,2010-12-01,1,9.64
COL_KOT_20101204,COL_KOT,ColomboMetro,2010-12-04,2010-12-04,1,9.23
COL_KOT_20101208,COL_KOT,ColomboMetro,2010-12-08,2010-12-08,1,10.32
COL_KOT_20101225,COL_KOT,ColomboMetro,2010-12-25,2010-12-25,1,9.45
COL_KOT_20110912,COL_KOT,ColomboMetro,2011-09-12,2011-09-14,3,10.46
COL_KOT_20111023,COL_KOT,ColomboMetro,2011-10-23,2011-10-23,1,10.32
COL_KOT_20120214,COL_KOT,ColomboMetro,2012-02-14,2012-02-14,1,13.39
COL_KOT_20120313,COL_KOT,ColomboMetro,2012-03-13,2012-03-13,1,9.47
COL_KOT_20121023,COL_KOT,ColomboMetro,2012-10-23,2012-10-23,1,12.15
COL_KOT_20121028,COL_KOT,ColomboMetro,2012-10-28,2012-10-29,2,11.56
COL_KOT_20121101,COL_KOT,ColomboMetro,2012-11-01,2012-11-01,1,9.59
COL_KOT_20121127,COL_KOT,ColomboMetro,2012-11-27,2012-11-27,1,10.4
COL_KOT_20131030,COL_KOT,ColomboMetro,2013-10-30,2013-11-02,4,12.43
COL_KOT_20140427,COL_KOT,ColomboMetro,2014-04-27,2014-04-27,1,11.91
COL_KOT_20141015,COL_KOT,ColomboMetro,2014-10-15,2014-10-18,4,14.31
COL_KOT_20141217,COL_KOT,ColomboMetro,2014-12-17,2014-12-17,1,9.72
COL_KOT_20141223,COL_KOT,ColomboMetro,2014-12-23,2014-12-25,3,15.98
COL_KOT_20150420,COL_KOT,ColomboMetro,2015-04-20,2015-04-20,1,10.56
COL_KOT_20151016,COL_KOT,ColomboMetro,2015-10-16,2015-10-20,5,21.54
COL_KOT_20151023,COL_KOT,ColomboMetro,2015-10-23,2015-10-27,5,10.14
COL_KOT_20151218,COL_KOT,ColomboMetro,2015-12-18,2015-12-18,1,9.3
COL_KOT_20160513,COL_KOT,ColomboMetro,2016-05-13,2016-05-19,7,43.26
COL_KOT_20161119,COL_KOT,ColomboMetro,2016-11-19,2016-11-19,1,11.16
COL_KOT_20170130,COL_KOT,ColomboMetro,2017-01-30,2017-01-30,1,11.53
COL_KOT_20171106,COL_KOT,ColomboMetro,2017-11-06,2017-11-06,1,10.61
COL_KOT_20171130,COL_KOT,ColomboMetro,2017-11-30,2017-12-01,2,14.17
COL_KOT_20180607,COL_KOT,ColomboMetro,2018-06-07,2018-06-07,1,12.24
COL_KOT_20180929,COL_KOT,ColomboMetro,2018-09-29,2018-10-01,3,18.68
COL_KOT_20181024,COL_KOT,ColomboMetro,2018-10-24,2018-10-24,1,14.52
COL_KOT_20190813,COL_KOT,ColomboMetro,2019-08-13,2019-08-13,1,9.5
COL_KOT_20191013,COL_KOT,ColomboMetro,2019-10-13,2019-10-16,4,20.98
COL_KOT_20191020,COL_KOT,ColomboMetro,2019-10-20,2019-10-20,1,10.3
COL_KOT_20191130,COL_KOT,ColomboMetro,2019-11-30,2019-11-30,1,9.47
COL_KOT_20191205,COL_KOT,ColomboMetro,2019-12-05,2019-12-05,1,10.75
COL_KOT_20191220,COL_KOT,ColomboMetro,2019-12-20,2019-12-22,3,15.14
COL_KOT_20200809,COL_KOT,ColomboMetro,2020-08-09,2020-08-09,1,9.35
COL_KOT_20200918,COL_KOT,ColomboMetro,2020-09-18,2020-09-18,1,9.42
COL_KOT_20201120,COL_KOT,ColomboMetro,2020-11-20,2020-11-20,1,9.57
COL_KOT_20210113,COL_KOT,ColomboMetro,2021-01-13,2021-01-13,1,9.5
COL_KOT_20210308,COL_KOT,ColomboMetro,2021-03-08,2021-03-08,1,9.3
COL_KOT_20210327,COL_KOT,ColomboMetro,2021-03-27,2021-03-28,2,9.94
COL_KOT_20210513,COL_KOT,ColomboMetro,2021-05-13,2021-05-13,1,9.47
COL_KOT_20210525,COL_KOT,ColomboMetro,2021-05-25,2021-05-25,1,11.27
COL_KOT_20211028,COL_KOT,ColomboMetro,2021-10-28,2021-10-30,3,15.14
COL_KOT_20211108,COL_KOT,ColomboMetro,2021-11-08,2021-11-09,2,11.79
COL_KOT_20220514,COL_KOT,ColomboMetro,2022-05-14,2022-05-14,1,14.03
COL_KOT_20220531,COL_KOT,ColomboMetro,2022-05-31,2022-05-31,1,9.28
COL_KOT_20231019,COL_KOT,ColomboMetro,2023-10-19,2023-10-19,1,11.45
COL_KOT_20240520,COL_KOT,ColomboMetro,2024-05-20,2024-05-28,9,14.7
COL_KOT_20240623,COL_KOT,ColomboMetro,2024-06-23,2024-06-23,1,9.64
COL_KOT_20240730,COL_KOT,ColomboMetro,2024-07-30,2024-07-30,1,10.72
COL_KOT_20240813,COL_KOT,ColomboMetro,2024-08-13,2024-08-13,1,9.57
COL_KOT_20241011,COL_KOT,ColomboMetro,2024-10-11,2024-10-12,2,12.84
COL_KOT_20241015,COL_KOT,ColomboMetro,2024-10-15,2024-10-15,1,9.79
DED_CHI_20051122,DED_CHI,DeduruOya,2005-11-22,2005-11-29,8,8.57
